link_id,tmc_id,time_of_day,speed_mph,flow_vehph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,flow_observed_vehph,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,dt_minutes,initial_queue_veh
SYN_I405_001,SYN_TMC_001,00:00,64.97512449335028,324.26393639109614,NT1,324.2657557892147,324.2619551072168,speed_to_volume:s3+period_volume_anchor,324.26393639109614,0.9999882791138748,324.2619551072168,speed_to_volume_proxy,798.3321075046998,0.0,0.0,324.2619551072168,27.021829592268066,27.021829592268066,0.0,0.9230769230769231,-474.070152397483,5,0.0
SYN_I405_001,SYN_TMC_001,00:05,64.97507103064291,324.4378673573423,NT1,324.4396485563697,324.43584583619446,speed_to_volume:s3+period_volume_anchor,324.4378673573423,0.9999882791138748,324.43584583619446,speed_to_volume_proxy,798.3321075046998,0.0,0.0,324.43584583619446,54.0581500786176,54.0581500786176,0.0,0.9230769230769231,-473.89626166850536,5,0.0
SYN_I405_001,SYN_TMC_001,00:10,64.9748993636152,324.98191822744485,NT1,324.9961257492863,324.99231650670527,speed_to_volume:s3+period_volume_anchor,324.98191822744485,0.9999882791138748,324.99231650670527,speed_to_volume_proxy,798.3321075046998,0.0,0.0,324.99231650670527,81.14084312084304,81.14084312084304,0.0,0.9230769230769231,-473.33979099799456,5,0.0
SYN_I405_001,SYN_TMC_001,00:15,64.97494315211563,324.84698600959365,NT1,324.85445283368944,324.8506452516405,speed_to_volume:s3+period_volume_anchor,324.84698600959365,0.9999882791138748,324.8506452516405,speed_to_volume_proxy,798.3321075046998,0.0,0.0,324.8506452516405,108.21173022514643,108.21173022514643,0.0,0.9230769230769231,-473.4814622530593,5,0.0
SYN_I405_001,SYN_TMC_001,00:20,64.97479172167851,325.3223878961782,NT1,325.34360216074305,325.3397888454306,speed_to_volume:s3+period_volume_anchor,325.3223878961782,0.9999882791138748,325.3397888454306,speed_to_volume_proxy,798.3321075046998,0.0,0.0,325.3397888454306,135.32337929559898,135.32337929559898,0.0,0.9230769230769231,-472.99231865926924,5,0.0
SYN_I405_001,SYN_TMC_001,00:25,64.97487871348964,325.05062434966965,NT1,325.06287257426743,325.05906254935445,speed_to_volume:s3+period_volume_anchor,325.05062434966965,0.9999882791138748,325.05906254935445,speed_to_volume_proxy,798.3321075046998,0.0,0.0,325.05906254935445,162.41163450804518,162.41163450804518,0.0,0.9230769230769231,-473.27304495534537,5,0.0
SYN_I405_001,SYN_TMC_001,00:30,64.97471297840853,325.5937068626581,NT1,325.5970863305888,325.5932700442172,speed_to_volume:s3+period_volume_anchor,325.5937068626581,0.9999882791138748,325.5932700442172,speed_to_volume_proxy,798.3321075046998,0.0,0.0,325.5932700442172,189.54440701172996,189.54440701172996,0.0,0.9230769230769231,-472.7388374604826,5,0.0
SYN_I405_001,SYN_TMC_001,00:35,64.97480646484946,325.29385858099624,NT1,325.2960760219518,325.2922632636878,speed_to_volume:s3+period_volume_anchor,325.29385858099624,0.9999882791138748,325.2922632636878,speed_to_volume_proxy,798.3321075046998,0.0,0.0,325.2922632636878,216.65209561703728,216.65209561703728,0.0,0.9230769230769231,-473.039844241012,5,0.0
SYN_I405_001,SYN_TMC_001,00:40,64.97481181270095,325.275538077726,NT1,325.27883150587337,325.27501894973034,speed_to_volume:s3+period_volume_anchor,325.275538077726,0.9999882791138748,325.27501894973034,speed_to_volume_proxy,798.3321075046998,0.0,0.0,325.27501894973034,243.75834719618146,243.75834719618146,0.0,0.9230769230769231,-473.0570885549695,5,0.0
SYN_I405_001,SYN_TMC_001,00:45,64.97501205419945,324.62493979000163,NT1,324.6311506900377,324.6273457252878,speed_to_volume:s3+period_volume_anchor,324.62493979000163,0.9999882791138748,324.6273457252878,speed_to_volume_proxy,798.3321075046998,0.0,0.0,324.6273457252878,270.8106260066221,270.8106260066221,0.0,0.9230769230769231,-473.704761779412,5,0.0
